track_id,frame,instance_score,x_head,y_head,score_head,x_body,y_body,score_body,x_tail,y_tail,score_tail,filename
0.0,38.0,0.96,3.392582,11.868301,0.99,2.6881752,13.63987,0.99,1.3145905,12.928429,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,39.0,0.99,3.1724586,10.850441,0.83,2.864277,12.97509,1.02,1.4387436,12.9706955,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,40.0,0.97,3.027172,10.122269,0.98,3.0122032,12.310318,0.98,1.5998726,12.980377,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,41.0,0.97,2.4768562,10.191826,0.99,2.8334541,12.24604,0.98,1.4704399,12.938995,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,42.0,0.98,1.3040237,11.638489,0.96,2.7048988,12.263649,0.99,1.6157188,12.9891815,1.01,2024-06-28_11-22-55_td2.tracks.feather
0.0,43.0,0.98,0.905159,12.798111,0.99,2.3526993,12.0655365,0.98,1.945034,13.469933,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,44.0,1.01,0.8910675,13.867928,0.93,1.9432716,12.146545,0.95,2.2919502,13.54126,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,45.0,0.92,1.2062912,14.592575,1.0,1.5611305,12.813965,0.95,2.6846504,13.497231,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,46.0,0.97,1.2529526,15.48365,1.0,1.3233986,13.697105,0.96,2.737484,13.320251,0.96,2024-06-28_11-22-55_td2.tracks.feather
0.0,47.0,0.94,1.3357201,16.18541,0.96,1.320755,14.030815,0.92,2.7189903,13.334343,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,48.0,0.96,1.6527061,16.873962,0.97,1.605156,14.445534,0.94,2.6635246,13.354591,0.96,2024-06-28_11-22-55_td2.tracks.feather
0.0,49.0,0.98,1.6430168,17.221764,0.96,1.6069183,15.1226425,1.0,2.3192482,13.696228,1.01,2024-06-28_11-22-55_td2.tracks.feather
0.0,50.0,0.97,1.8138351,17.790565,0.98,1.4977341,15.670311,0.98,2.1105614,14.201637,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,51.0,0.97,1.9758492,18.300385,0.99,1.6377335,16.203018,0.97,1.9415092,14.716728,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,52.0,0.97,1.987297,19.141258,0.99,1.6483002,16.732208,0.97,1.6571083,14.957108,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,53.0,0.96,2.0233955,19.203773,0.97,1.9327049,17.39962,0.97,1.628048,15.619247,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,54.0,0.95,2.4698067,20.057861,0.96,1.8279228,17.922646,0.97,1.7715721,16.139626,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,55.0,0.98,2.6996193,20.716484,0.97,2.002262,18.30214,0.96,1.6676712,16.490944,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,56.0,0.97,2.8774834,21.206917,0.94,2.1589966,18.825157,0.96,1.7874184,17.021004,1.0,2024-06-28_11-22-55_td2.tracks.feather
0.0,57.0,0.97,3.0350914,21.293213,0.98,2.3535843,19.463524,0.96,1.6738358,17.713966,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,58.0,0.97,3.3617592,21.971199,0.98,2.6547203,19.867676,0.97,1.9679222,18.103142,0.98,2024-06-28_11-22-55_td2.tracks.feather
0.0,59.0,0.99,3.581005,22.367424,0.98,2.8343391,20.243645,0.98,2.1281738,18.478241,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,60.0,0.98,3.74654,22.71434,0.99,3.0077934,20.896988,0.96,2.302517,19.143898,0.96,2024-06-28_11-22-55_td2.tracks.feather
0.0,61.0,0.97,4.0908165,23.36943,1.0,3.330944,21.57145,0.96,2.3509445,19.82277,0.96,2024-06-28_11-22-55_td2.tracks.feather
0.0,62.0,0.97,4.4852867,23.890694,0.99,3.6901894,22.151703,0.97,2.6881752,20.417107,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,63.0,0.98,5.181759,24.286041,0.98,4.0828896,22.811195,0.97,3.0359688,21.114464,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,64.0,0.98,5.6924553,24.795853,1.0,4.605915,23.397614,0.99,3.2693062,21.96679,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,65.0,0.98,6.375721,25.325912,0.99,4.9493065,23.873085,0.95,3.5836449,22.179,0.96,2024-06-28_11-22-55_td2.tracks.feather
0.0,66.0,0.98,6.734089,25.6473,0.99,5.3076744,24.23497,0.96,3.9288063,22.819122,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,67.0,0.97,7.253582,26.03032,0.99,5.5357246,24.611832,0.97,4.40868,23.225037,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,68.0,0.99,7.8179893,26.495224,0.98,6.078991,25.101387,0.96,4.923771,23.737488,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,69.0,0.99,8.47044,26.839493,0.98,6.4320717,25.428047,0.95,5.005657,24.07032,0.99,2024-06-28_11-22-55_td2.tracks.feather
0.0,70.0,1.0,9.017231,27.189064,0.97,6.9480476,25.783775,0.95,5.4996223,24.426918,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,71.0,0.99,9.346546,27.103645,0.99,7.5872917,26.025032,0.98,5.8791237,24.959625,1.0,2024-06-28_11-22-55_td2.tracks.feather
0.0,72.0,0.98,10.067677,27.619629,0.99,8.313709,26.539246,0.97,6.5967293,25.49057,1.0,2024-06-28_11-22-55_td2.tracks.feather
0.0,73.0,0.98,10.617107,27.946297,0.99,8.5602455,26.848305,0.94,7.107418,25.81459,1.0,2024-06-28_11-22-55_td2.tracks.feather
0.0,74.0,0.98,10.600376,27.9234,0.98,8.821758,26.852707,0.96,7.115345,25.820755,1.01,2024-06-28_11-22-55_td2.tracks.feather
0.0,75.0,0.95,10.249058,25.46856,0.98,8.83585,26.829811,0.97,7.1047783,25.789062,0.97,2024-06-28_11-22-55_td2.tracks.feather
0.0,76.0,0.98,11.016857,25.133087,0.96,9.168682,26.245163,0.96,7.14616,25.815475,0.97,2024-06-28_11-22-55_td2.tracks.feather
