frame,track,instance_score
0,0,0.9847385883331299
1,0,0.9576226472854614
2,0,0.9787824153900146
3,0,0.9614584445953369
4,0,0.9314037561416626
5,0,0.9501450061798096
6,0,0.970625102519989
7,0,0.9640676379203796
8,0,0.9622949361801147
9,0,1.0071643590927124
10,0,1.0171157121658325
11,0,0.9855144023895264
12,0,0.9746888279914856
13,0,0.9502175450325012
14,0,0.9608608484268188
15,0,0.9727296233177185
16,0,0.973943829536438
17,0,0.9725114107131958
18,0,0.9736177921295166
19,0,0.9597708582878113
20,0,0.9771665334701538
21,0,0.9499341249465942
22,0,0.9531525373458862
23,0,0.9699388742446899
24,0,0.9880275130271912
25,0,0.9832045435905457
26,0,0.9677285552024841
27,0,0.9583537578582764
28,0,0.9664894938468933
29,0,0.9698096513748169
30,0,0.9651663303375244
31,0,0.9567157626152039
32,0,0.9953545331954956
33,0,0.9856547117233276
34,0,0.9732593894004822
35,0,0.991959810256958
36,0,0.9755005240440369
37,0,0.9762813448905945
38,0,0.9986163377761841
39,0,0.9918122291564941
40,0,0.9926677346229553
41,0,0.9824537634849548
42,0,0.991955578327179
43,0,0.9812772274017334
44,0,0.9439195394515991
45,0,0.9687978625297546
46,0,0.9699037075042725
47,0,0.9772951602935791
48,0,0.9679393172264099
49,0,0.9635952115058899
50,0,0.9934620261192322
51,0,0.9709271192550659
52,0,0.9883416295051575
53,0,0.9854461550712585
54,0,0.9704194664955139
55,0,0.9902675151824951
56,0,0.9598252177238464
57,0,0.9672999978065491
58,0,0.9754316806793213
59,0,0.9783287048339844
60,0,0.9782659411430359
61,0,0.9868876338005066
62,0,0.9715427160263062
63,0,0.9738376140594482
64,0,0.988898515701294
65,0,0.9415758848190308
66,0,0.9829851984977722
67,0,0.9941075444221497
68,0,0.9794413447380066
69,0,0.9657387733459473
70,0,0.9649479389190674
71,0,0.9820885062217712
72,0,0.962369441986084
73,0,0.9906480312347412
74,0,0.9853628873825073
75,0,1.0051518678665161
76,0,0.9841012954711914
