track_id,frame,instance_score,x_head,y_head,score_head,x_body,y_body,score_body,x_tail,y_tail,score_tail,filename
0.0,0.0,0.99,-2.3556747,-2.493229,0.99,-0.59000397,-1.7284737,0.99,0.3927536,-2.4378586,1.0,2024-06-28_15-28-21_td4.tracks.feather
0.0,1.0,0.97,-3.19656,-3.1161041,0.99,-1.155777,-1.8080673,1.0,-0.14620209,-2.4854393,0.98,2024-06-28_15-28-21_td4.tracks.feather
0.0,2.0,0.97,-3.605751,-3.3583298,0.97,-1.8262329,-2.304634,1.01,-0.7751312,-2.6844177,1.01,2024-06-28_15-28-21_td4.tracks.feather
0.0,3.0,0.97,-4.604946,-3.8635483,0.99,-2.5399437,-2.5053406,0.97,-1.142807,-2.8063927,1.02,2024-06-28_15-28-21_td4.tracks.feather
0.0,4.0,0.98,-5.133526,-4.2130547,0.99,-3.0650597,-3.1204262,0.96,-1.6428299,-2.8349457,1.0,2024-06-28_15-28-21_td4.tracks.feather
0.0,5.0,0.99,-5.507248,-4.423271,0.99,-3.4387856,-3.3020973,0.94,-2.046833,-3.0140228,0.99,2024-06-28_15-28-21_td4.tracks.feather
0.0,6.0,0.98,-5.8593445,-4.880909,0.98,-3.7727165,-3.5053978,0.96,-2.3634644,-3.1316757,0.98,2024-06-28_15-28-21_td4.tracks.feather
0.0,7.0,0.96,-6.3697586,-5.0764236,1.0,-3.9526596,-3.6611176,0.97,-2.266571,-3.020073,0.98,2024-06-28_15-28-21_td4.tracks.feather
0.0,8.0,0.96,-6.541912,-5.387867,0.97,-4.4423027,-3.7433014,0.95,-3.0408401,-3.0244026,0.98,2024-06-28_15-28-21_td4.tracks.feather
0.0,9.0,0.98,-7.094715,-5.608467,0.96,-4.9899178,-4.1801796,0.98,-3.5988274,-3.461277,0.99,2024-06-28_15-28-21_td4.tracks.feather
0.0,10.0,0.98,-7.593014,-5.9700775,0.97,-5.538395,-4.5634193,0.96,-4.165474,-3.8151016,0.97,2024-06-28_15-28-21_td4.tracks.feather
0.0,11.0,0.95,-8.24876,-6.624096,0.97,-6.175976,-4.9258995,0.96,-4.8099747,-3.908535,0.97,2024-06-28_15-28-21_td4.tracks.feather
0.0,12.0,0.9,-8.912296,-7.6068535,1.01,-6.8853607,-5.5911636,0.97,-5.4864845,-4.503727,0.96,2024-06-28_15-28-21_td4.tracks.feather
0.0,13.0,0.94,-9.286022,-7.320503,1.0,-7.204586,-5.882702,0.96,-5.8576164,-4.5504417,0.98,2024-06-28_15-28-21_td4.tracks.feather
0.0,14.0,0.91,-9.947823,-7.6916313,0.98,-7.57917,-5.9571,0.94,-6.1958694,-4.8584175,0.97,2024-06-28_15-28-21_td4.tracks.feather
0.0,15.0,0.94,-10.340584,-8.202045,0.99,-8.24876,-6.463188,0.95,-6.887089,-5.3792114,0.98,2024-06-28_15-28-21_td4.tracks.feather
